"Story","Title","Result","Date","Stability","Duration (s)"
"Barra de busqueda empleos disponibles","Se diligencian los dos campos y se realiza la busqueda y filtro exitosamente","PENDING","08:09:41","0.0","0.17"
"Barra de busqueda empleos disponibles","Se diligencian los dos campos y se realiza la busqueda y filtro exitosamente","PENDING","09:09:23","0.0","10.48"
